name,specialty,location,experience,rating,focus,hospital,qualification,languages,consultation_fee,availability,about
Dr. Aarushi Khan,Oncologist,Chennai,12 years,4.3,"chemotherapy, tumor, biopsy, cancer screening, cancer care",Chennai Oncologist Care Center,DM Oncology,English|Hindi|Bengali,1300,Mon-Fri 10:00-17:00,"Specializes in cancer care, chemotherapy, and personalized oncologist care."
Dr. Dev Joshi,Oncologist,Patna,13 years,4.4,"tumor, biopsy, cancer screening, cancer care, chemotherapy",Patna Oncologist Care Center,DM Oncology,English|Hindi|Marathi,1400,Tue-Sun 11:00-18:00,"Specializes in cancer care, chemotherapy, and personalized oncologist care."
Dr. Isha Das,Oncologist,Mumbai,14 years,4.5,"biopsy, cancer screening, cancer care, chemotherapy, tumor",Mumbai Oncologist Care Center,DM Oncology,English|Hindi|Gujarati,1500,Mon-Sat 16:00-20:00,"Specializes in cancer care, chemotherapy, and personalized oncologist care."
Dr. Kabir Mishra,Oncologist,Hyderabad,15 years,4.6,"cancer screening, cancer care, chemotherapy, tumor, biopsy",Hyderabad Oncologist Care Center,DM Oncology,English|Hindi,600,Mon-Sat 09:00-14:00,"Specializes in cancer care, chemotherapy, and personalized oncologist care."
Dr. Ananya Roy,Oncologist,Ahmedabad,16 years,4.7,"cancer care, chemotherapy, tumor, biopsy, cancer screening",Ahmedabad Oncologist Care Center,DM Oncology,English|Hindi|Tamil,700,Mon-Fri 10:00-17:00,"Specializes in cancer care, chemotherapy, and personalized oncologist care."
Dr. Vivaan Bajaj,Rheumatologist,Mumbai,17 years,4.8,"autoimmune disease, joint swelling, lupus, rheumatoid arthritis, chronic inflammation",Mumbai Rheumatologist Care Center,DM Rheumatology,English|Hindi|Bengali,800,Tue-Sun 11:00-18:00,"Specializes in autoimmune disease, joint swelling, and personalized rheumatologist care."
Dr. Zoya Mehta,Rheumatologist,Hyderabad,18 years,4.9,"joint swelling, lupus, rheumatoid arthritis, chronic inflammation, autoimmune disease",Hyderabad Rheumatologist Care Center,DM Rheumatology,English|Hindi|Marathi,900,Mon-Sat 16:00-20:00,"Specializes in autoimmune disease, joint swelling, and personalized rheumatologist care."
Dr. Arjun Iyer,Rheumatologist,Ahmedabad,19 years,4.2,"lupus, rheumatoid arthritis, chronic inflammation, autoimmune disease, joint swelling",Ahmedabad Rheumatologist Care Center,DM Rheumatology,English|Hindi|Gujarati,1000,Mon-Sat 09:00-14:00,"Specializes in autoimmune disease, joint swelling, and personalized rheumatologist care."
Dr. Tara Verma,Rheumatologist,Chennai,20 years,4.3,"rheumatoid arthritis, chronic inflammation, autoimmune disease, joint swelling, lupus",Chennai Rheumatologist Care Center,DM Rheumatology,English|Hindi,1100,Mon-Fri 10:00-17:00,"Specializes in autoimmune disease, joint swelling, and personalized rheumatologist care."
Dr. Reyansh Qureshi,Rheumatologist,Patna,21 years,4.4,"chronic inflammation, autoimmune disease, joint swelling, lupus, rheumatoid arthritis",Patna Rheumatologist Care Center,DM Rheumatology,English|Hindi|Tamil,1200,Tue-Sun 11:00-18:00,"Specializes in autoimmune disease, joint swelling, and personalized rheumatologist care."
Dr. Diya Kulkarni,Rheumatologist,Mumbai,22 years,4.5,"autoimmune disease, joint swelling, lupus, rheumatoid arthritis, chronic inflammation",Mumbai Rheumatologist Care Center,DM Rheumatology,English|Hindi|Bengali,1300,Mon-Sat 16:00-20:00,"Specializes in autoimmune disease, joint swelling, and personalized rheumatologist care."
Dr. Aditya Anand,Hematologist,Chennai,5 years,4.6,"anemia, blood disorder, low platelets, clotting issue, thalassemia",Chennai Hematologist Care Center,DM Hematology,English|Hindi|Marathi,1400,Mon-Sat 09:00-14:00,"Specializes in anemia, blood disorder, and personalized hematologist care."
Dr. Kiara Reddy,Hematologist,Patna,6 years,4.7,"blood disorder, low platelets, clotting issue, thalassemia, anemia",Patna Hematologist Care Center,DM Hematology,English|Hindi|Gujarati,1500,Mon-Fri 10:00-17:00,"Specializes in anemia, blood disorder, and personalized hematologist care."
Dr. Vihaan Kapoor,Hematologist,Mumbai,7 years,4.8,"low platelets, clotting issue, thalassemia, anemia, blood disorder",Mumbai Hematologist Care Center,DM Hematology,English|Hindi,600,Tue-Sun 11:00-18:00,"Specializes in anemia, blood disorder, and personalized hematologist care."
Dr. Myra Nair,Hematologist,Hyderabad,8 years,4.9,"clotting issue, thalassemia, anemia, blood disorder, low platelets",Hyderabad Hematologist Care Center,DM Hematology,English|Hindi|Tamil,700,Mon-Sat 16:00-20:00,"Specializes in anemia, blood disorder, and personalized hematologist care."
Dr. Ishaan Singh,Hematologist,Ahmedabad,9 years,4.2,"thalassemia, anemia, blood disorder, low platelets, clotting issue",Ahmedabad Hematologist Care Center,DM Hematology,English|Hindi|Bengali,800,Mon-Sat 09:00-14:00,"Specializes in anemia, blood disorder, and personalized hematologist care."
Dr. Sara Bose,Hematologist,Chennai,10 years,4.3,"anemia, blood disorder, low platelets, clotting issue, thalassemia",Chennai Hematologist Care Center,DM Hematology,English|Hindi|Marathi,900,Mon-Fri 10:00-17:00,"Specializes in anemia, blood disorder, and personalized hematologist care."
Dr. Aryan Khan,Physiotherapist,Hyderabad,11 years,4.4,"rehabilitation, muscle pain, post surgery exercise, mobility issue, neck pain",Hyderabad Physiotherapist Care Center,MPT Physiotherapy,English|Hindi|Gujarati,1000,Tue-Sun 11:00-18:00,"Specializes in rehabilitation, muscle pain, and personalized physiotherapist care."
Dr. Avni Joshi,Physiotherapist,Ahmedabad,12 years,4.5,"muscle pain, post surgery exercise, mobility issue, neck pain, rehabilitation",Ahmedabad Physiotherapist Care Center,MPT Physiotherapy,English|Hindi,1100,Mon-Sat 16:00-20:00,"Specializes in rehabilitation, muscle pain, and personalized physiotherapist care."
Dr. Shaurya Das,Physiotherapist,Chennai,13 years,4.6,"post surgery exercise, mobility issue, neck pain, rehabilitation, muscle pain",Chennai Physiotherapist Care Center,MPT Physiotherapy,English|Hindi|Tamil,1200,Mon-Sat 09:00-14:00,"Specializes in rehabilitation, muscle pain, and personalized physiotherapist care."
Dr. Nisha Mishra,Physiotherapist,Patna,14 years,4.7,"mobility issue, neck pain, rehabilitation, muscle pain, post surgery exercise",Patna Physiotherapist Care Center,MPT Physiotherapy,English|Hindi|Bengali,1300,Mon-Fri 10:00-17:00,"Specializes in rehabilitation, muscle pain, and personalized physiotherapist care."
Dr. Rudra Roy,Physiotherapist,Mumbai,15 years,4.8,"neck pain, rehabilitation, muscle pain, post surgery exercise, mobility issue",Mumbai Physiotherapist Care Center,MPT Physiotherapy,English|Hindi|Marathi,1400,Tue-Sun 11:00-18:00,"Specializes in rehabilitation, muscle pain, and personalized physiotherapist care."
Dr. Pooja Chopra,Physiotherapist,Hyderabad,16 years,4.9,"rehabilitation, muscle pain, post surgery exercise, mobility issue, neck pain",Hyderabad Physiotherapist Care Center,MPT Physiotherapy,English|Hindi|Gujarati,1500,Mon-Sat 16:00-20:00,"Specializes in rehabilitation, muscle pain, and personalized physiotherapist care."
